07-06-2018 18:00:59.577 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method Start
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - Directory for load is C:/Output/Load
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.service.ApplicationScheduler.fetchAllPackagesFromDB - Fetch Details for latest Environment
07-06-2018 18:00:59.964 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB for environment latest  Method Start
07-06-2018 18:01:09.973 [pool-2-thread-1] INFO  com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - Query Result ->> [
[PBL_DATE=2018-06-07 00:50:45.0, GT_CODE=S376V, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:44.0, GT_CODE=R833N, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:44.0, GT_CODE=R745H, ACTION=REJECTED, CHANNEL=DVC DISCOL, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:44.0, GT_CODE=S337U, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:42.0, GT_CODE=R684A, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:42.0, GT_CODE=R664R, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:41.0, GT_CODE=R546N, ACTION=UPDATE, CHANNEL=HIINETHIRO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:40.0, GT_CODE=Q884R, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:40.0, GT_CODE=R463C, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:40.0, GT_CODE=R487O, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:40.0, GT_CODE=QN9, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:37.0, GT_CODE=Q738T, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:37.0, GT_CODE=Q849S, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:36.0, GT_CODE=Q527W, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:36.0, GT_CODE=Q633I, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:34.0, GT_CODE=Q398I, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:34.0, GT_CODE=Q452B, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:33.0, GT_CODE=Q383V, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:33.0, GT_CODE=P786G, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:32.0, GT_CODE=P695J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:32.0, GT_CODE=P797L, ACTION=UPDATE, CHANNEL=OL CAST, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:30.0, GT_CODE=P484Q, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:30.0, GT_CODE=P428F, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:30.0, GT_CODE=P562T, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:29.0, GT_CODE=P338D, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:28.0, GT_CODE=P338T, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:27.0, GT_CODE=OMC, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:27.0, GT_CODE=O946O, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:25.0, GT_CODE=O733V, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:25.0, GT_CODE=O753X, ACTION=UPDATE, CHANNEL=HI-CAST RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:25.0, GT_CODE=O864Q, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:23.0, GT_CODE=O587B, ACTION=UPDATE, CHANNEL=OGB, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:22.0, GT_CODE=O472W, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:22.0, GT_CODE=O462E, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:21.0, GT_CODE=O375Z, ACTION=REJECTED, CHANNEL=LGRCD, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:21.0, GT_CODE=O443R, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:19.0, GT_CODE=NWP, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:19.0, GT_CODE=N793Q, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:19.0, GT_CODE=N872O, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:18.0, GT_CODE=N732E, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:17.0, GT_CODE=N696J, ACTION=UPDATE, CHANNEL=DRC RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:16.0, GT_CODE=N638P, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:15.0, GT_CODE=N527P, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:15.0, GT_CODE=N557A, ACTION=UPDATE, CHANNEL=OL RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:14.0, GT_CODE=N466Q, ACTION=REJECTED, CHANNEL=DVC EXCC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:13.0, GT_CODE=N243Q, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:13.0, GT_CODE=N278J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:13.0, GT_CODE=N357J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:11.0, GT_CODE=M658G, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:11.0, GT_CODE=M576L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:11.0, GT_CODE=M899L, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:10.0, GT_CODE=M444J, ACTION=REJECTED, CHANNEL=RGSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:09.0, GT_CODE=M466L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:08.0, GT_CODE=M334X, ACTION=REJECTED, CHANNEL=LGDTA, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:07.0, GT_CODE=L984U, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:07.0, GT_CODE=L834R, ACTION=REJECTED, CHANNEL=LGRCD, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:06.0, GT_CODE=L757H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:05.0, GT_CODE=L638J, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:04.0, GT_CODE=L574V, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:04.0, GT_CODE=L562S, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:03.0, GT_CODE=L478L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:02.0, GT_CODE=K966S, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:02.0, GT_CODE=L367K, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:01.0, GT_CODE=K937W, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:00.0, GT_CODE=K799P, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:59.0, GT_CODE=K577L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:59.0, GT_CODE=K736H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:58.0, GT_CODE=K379H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:57.0, GT_CODE=J982X, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
